	α: 0.1, ε: 0.05, γ: 0.3
0	3.25
1	8.36
2	7.71
3	2.98
4	-2.46
5	6.92
6	1.67
7	13.12
8	8.2
9	-1.93
10	2.69
11	7.75
12	2.49
13	32.43
14	-1.98
15	13.15
16	22.9
17	7.63
18	18.03
19	12.89
