	α: 0.3, ε: 0.05, γ: 0.8
0	1.94
1	8.06
2	3.78
3	3.83
4	-12.29
5	8.38
6	7.68
7	2.81
8	18.55
9	38.25
10	-2.5
11	17.31
12	2.76
13	1.78
14	2.37
15	6.84
16	7.84
17	2.74
18	8.0
19	11.7
