	α: 0.1, ε: 0.05, γ: 0.8
0	8.34
1	8.14
2	-2.06
3	2.07
4	-1.73
5	3.46
6	3.45
7	8.03
8	23.33
9	23.11
10	3.15
11	12.51
12	8.21
13	8.02
14	2.47
15	2.27
16	2.1
17	3.42
18	-12.17
19	8.29
