	α: 0.1, ε: 0.05, γ: 0.5
0	13.25
1	7.29
2	2.85
3	7.72
4	2.44
5	2.56
6	22.18
7	2.75
8	17.06
9	3.37
10	-2.39
11	7.18
12	17.8
13	3.1
14	13.15
15	3.41
16	7.4
17	7.72
18	-7.61
19	-2.54
