	α: 0.2, ε: 0.05, γ: 0.8
0	2.01
1	23.11
2	3.28
3	2.48
4	7.36
5	3.25
6	2.34
7	28.59
8	-1.72
9	12.53
10	3.49
11	7.45
12	-1.86
13	-1.69
14	2.13
15	28.21
16	12.63
17	-11.77
18	8.38
19	-2.21
